trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.5, 'e': 0.9687275221056003}",25,0,-175.71222142017865,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.9681695866995965}",20,0,-102.54580977995289,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.9676067985855058}",30,0,-115.61027661353816,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.9670391605841631}",20,7,-54.81273310257706,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.9664666755407118}",20,0,-85.99891182158949,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.9658893463245902}",25,0,-314.32441853000665,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 5}",0
118,False,"{'a': 0.5, 'e': 0.9653071758295169}",35,0,-174.04636207014468,"{0: 22, 1: 3, 2: 6, 3: 2, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.9647201669734757}",25,0,-156.2866270218129,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.964128322698702}",25,0,-61.078911245845724,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.9635316459716673}",25,0,-93.47027008971791,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.9629301397830644}",30,0,-150.44742960471544,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.9623238071477929}",20,0,-76.58481908024477,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.9617126511049436}",20,0,-94.96383809990051,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.9610966747177834}",20,0,-90.11306954728173,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.9604758810737399}",25,0,-64.23614802890606,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.9598502732843862}",20,0,-96.63028904352144,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.9592198544854249}",25,0,-162.5957958931306,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
129,False,"{'a': 0.5, 'e': 0.9585846278366729}",25,0,-125.30170570954004,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.9579445965220447}",20,0,-111.06368973520784,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.9572997637495375}",20,0,-14.344209121331273,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.9566501327512144}",25,12,-5.429709418616399,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.9559957067831883}",20,0,-230.56277358597288,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 4}",0
134,False,"{'a': 0.5, 'e': 0.955336489125606}",25,0,-119.22745868247887,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.9546724830826312}",25,0,-28.719383739548512,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.9540036919824281}",35,0,-150.72638689114527,"{0: 24, 1: 0, 2: 8, 3: 1, 4: 2}",0
137,False,"{'a': 0.5, 'e': 0.9533301191771452}",35,0,-269.3993417879024,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 6}",0
138,False,"{'a': 0.5, 'e': 0.9526517680428975}",20,0,-96.51163005225648,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.9519686419797508}",25,0,-170.0437321541599,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.9512807444117037}",30,0,-176.23745433185593,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
141,False,"{'a': 0.5, 'e': 0.9505880787866708}",25,0,-74.26551745529284,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.9498906485764655}",20,0,-99.65687962577164,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.9491884572767824}",20,0,-86.75530037188811,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.9484815084071798}",20,0,-96.94535941573376,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.9477698055110624}",20,0,-75.99001588062032,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
146,False,"{'a': 0.5, 'e': 0.9470533521556629}",30,0,-124.30525623545391,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.9463321519320248}",25,20,9.754288279980582,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.945606208454984}",25,0,-75.85603889313951,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.9448755253631507}",25,0,-131.2845694433318,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.9441401063188913}",20,0,-99.05329750151716,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
